document_id,set,question,answer1,answer2,question_tokenized,answer1_tokenized,answer2_tokenized
08ac6c0dca91fee93d27c7caf85bb57e17d4fc46,test,Why does Ben not agree to help Gordon?,Ben trusts the police too much to help.,He trusts the police,Why does Ben not agree to help Gordon ?,Ben trusts the police too much to help .,He trusts the police
08ac6c0dca91fee93d27c7caf85bb57e17d4fc46,test,What causes Ben to change his mind?,"When Gordon disappears, Ben decides to look into what happened. ","Gardener, Gordon  is captured and tortured.",What causes Ben to change his mind ?,"When Gordon disappears , Ben decides to look into what happened .","Gardener , Gordon is captured and tortured ."
08ac6c0dca91fee93d27c7caf85bb57e17d4fc46,test,What does Ben do to bring awareness of the inequality and injustices?,Ben goes before the court with an attorney.,He brings the incidents to court.,What does Ben do to bring awareness of the inequality and injustices ?,Ben goes before the court with an attorney .,He brings the incidents to court .
08ac6c0dca91fee93d27c7caf85bb57e17d4fc46,test,Why does Ben decide to support a group of blacks?,He does this so they can interview others about what happened to Gordon.,He sees their helplessness after Gordon is taken,Why does Ben decide to support a group of blacks ?,He does this so they can interview others about what happened to Gordon .,He sees their helplessness after Gordon is taken
08ac6c0dca91fee93d27c7caf85bb57e17d4fc46,test,Who betrays Ben and tells the police of the hiding spot?,Ben's daughter betrays him.,His daughter,Who betrays Ben and tells the police of the hiding spot ?,Ben s daughter betrays him .,His daughter
08ac6c0dca91fee93d27c7caf85bb57e17d4fc46,test,Who saves the documents that Ben had hidden?,Ben's son saved the documents.,Ben's son.,Who saves the documents that Ben had hidden ?,Ben s son saved the documents .,Ben s son .
08ac6c0dca91fee93d27c7caf85bb57e17d4fc46,test,Who get's killed in the end of the story?,Ben and the policeman are both killed in the end. ,Ben and the policeman.,Who get s killed in the end of the story ?,Ben and the policeman are both killed in the end .,Ben and the policeman .
08ac6c0dca91fee93d27c7caf85bb57e17d4fc46,test,What year did this story take place?,1976,1976,What year did this story take place ?,1976,1976
08ac6c0dca91fee93d27c7caf85bb57e17d4fc46,test,Where does this story take place?,South Africa,south africa,Where does this story take place ?,South Africa,south africa
08ac6c0dca91fee93d27c7caf85bb57e17d4fc46,test,What is Ben Du Toit's occupation?,He is a teacher at an all white school,School teacher.,What is Ben Du Toit s occupation ?,He is a teacher at an all white school,School teacher .
08ac6c0dca91fee93d27c7caf85bb57e17d4fc46,test,Who asks Ben for help at the beginning of the story?,Gorden,Gordon.,Who asks Ben for help at the beginning of the story ?,Gorden,Gordon .
08ac6c0dca91fee93d27c7caf85bb57e17d4fc46,test,Who tortures Gorden?,The police,Police,Who tortures Gorden ?,The police,Police
08ac6c0dca91fee93d27c7caf85bb57e17d4fc46,test,What are the results of Ben bringing the incidents to court?,They lost,He loses his case. ,What are the results of Ben bringing the incidents to court ?,They lost,He loses his case .
08ac6c0dca91fee93d27c7caf85bb57e17d4fc46,test,Who betrays the documents to the police?,Ben's daughter,Ben's daughter.,Who betrays the documents to the police ?,Ben s daughter,Ben s daughter .
08ac6c0dca91fee93d27c7caf85bb57e17d4fc46,test,How were the documents saved?,Ben's son saved them,Ben's son saved the documents.,How were the documents saved ?,Ben s son saved them,Ben s son saved the documents .
08ac6c0dca91fee93d27c7caf85bb57e17d4fc46,test,What did Ben give his daughter instead of documents?,A book of art,A book about art.,What did Ben give his daughter instead of documents ?,A book of art,A book about art .
08ac6c0dca91fee93d27c7caf85bb57e17d4fc46,test,Who is the lawyer?,Ian Mckenzie,Ian McKenzie,Who is the lawyer ?,Ian Mckenzie,Ian McKenzie
08ac6c0dca91fee93d27c7caf85bb57e17d4fc46,test,What was going on when Gordon Ngubene was beaten?,A peacefully demonstration for a better education policy,A peaceful demonstration.,What was going on when Gordon Ngubene was beaten ?,A peacefully demonstration for a better education policy,A peaceful demonstration .
08ac6c0dca91fee93d27c7caf85bb57e17d4fc46,test,During what year was the apartheid taking place?,In 1976,1976,During what year was the apartheid taking place ?,In 1976,1976
08ac6c0dca91fee93d27c7caf85bb57e17d4fc46,test,Who was Gordon caught by?,The police,The police.,Who was Gordon caught by ?,The police,The police .
08ac6c0dca91fee93d27c7caf85bb57e17d4fc46,test,Where were the documents hidden?,At Ben's house,At Ben's house.,Where were the documents hidden ?,At Ben s house,At Ben s house .
08ac6c0dca91fee93d27c7caf85bb57e17d4fc46,test,Who was ran over?,Ben,ben,Who was ran over ?,Ben,ben
08ac6c0dca91fee93d27c7caf85bb57e17d4fc46,test,What was fake?,The documents,Documents Ben gave to his daughter,What was fake ?,The documents,Documents Ben gave to his daughter
08ac6c0dca91fee93d27c7caf85bb57e17d4fc46,test,What happen to the hideout spot?,It was blown up,It was blown up,What happen to the hideout spot ?,It was blown up,It was blown up
08ac6c0dca91fee93d27c7caf85bb57e17d4fc46,test,Who was shot in revenge?,The policeman,Policeman,Who was shot in revenge ?,The policeman,Policeman
1fa32a0798f79e13ca92ae84eda9ab3eb12c70a4,test,What is Judge Millers dog's name?,Buck,Buck,What is Judge Millers dog s name ?,Buck,Buck
1fa32a0798f79e13ca92ae84eda9ab3eb12c70a4,test,What type of dog is he trained to be in Canada? ,sled dog,sled dog,What type of dog is he trained to be in Canada ?,sled dog,sled dog
1fa32a0798f79e13ca92ae84eda9ab3eb12c70a4,test,What is the name of the dog that had to be shot?,Dave,Dave,What is the name of the dog that had to be shot ?,Dave,Dave
1fa32a0798f79e13ca92ae84eda9ab3eb12c70a4,test,Who is the outdoors-man who noticed the dogs being poorly treated?,John Thorton,John Thornton,Who is the outdoors-man who noticed the dogs being poorly treated ?,John Thorton,John Thornton
1fa32a0798f79e13ca92ae84eda9ab3eb12c70a4,test,What does John worn the trio about?,Crossing the river,The melting ice on the river,What does John worn the trio about ?,Crossing the river,The melting ice on the river
1fa32a0798f79e13ca92ae84eda9ab3eb12c70a4,test,How did the trio and neglected dogs die?,The drown trying to cross the river,In the riber,How did the trio and neglected dogs die ?,The drown trying to cross the river,In the riber
1fa32a0798f79e13ca92ae84eda9ab3eb12c70a4,test,What did Buck have to break to win the wager?,half ton sled ,A half-ton sled.,What did Buck have to break to win the wager ?,half ton sled,A half-ton sled .
1fa32a0798f79e13ca92ae84eda9ab3eb12c70a4,test,What did Buck win?,$1600 in gold dust,$1600 in gold dust,What did Buck win ?,$ 1600 in gold dust,$ 1600 in gold dust
1fa32a0798f79e13ca92ae84eda9ab3eb12c70a4,test,Who does Buck return as every year?,Ghost dog,the Ghost Dog of the Northland Legend,Who does Buck return as every year ?,Ghost dog,the Ghost Dog of the Northland Legend
1fa32a0798f79e13ca92ae84eda9ab3eb12c70a4,test,How did Thornton die?,He was attacked by natives.,killed by natives,How did Thornton die ?,He was attacked by natives .,killed by natives
1fa32a0798f79e13ca92ae84eda9ab3eb12c70a4,test,What kind of dog is Buck?,A St. Bernard-Scotch Shepard.,ST BERNARD/SCOTCH SHEPHERD MIX,What kind of dog is Buck ?,A St. Bernard-Scotch Shepard .,ST BERNARD/SCOTCH SHEPHERD MIX
1fa32a0798f79e13ca92ae84eda9ab3eb12c70a4,test,Who was Buck's very first owner in the story?,Judge Miller.,Judge Miller,Who was Buck s very first owner in the story ?,Judge Miller .,Judge Miller
1fa32a0798f79e13ca92ae84eda9ab3eb12c70a4,test,Who kidnaps Buck from the Judge?,The gardener's assistant. ,Gardener's assistant,Who kidnaps Buck from the Judge ?,The gardener s assistant .,Gardener s assistant
1fa32a0798f79e13ca92ae84eda9ab3eb12c70a4,test,Where is Buck shipped after being stolen and sold by the gardener's assistant?,Seattle.  ,SEATTLE,Where is Buck shipped after being stolen and sold by the gardener s assistant ?,Seattle .,SEATTLE
1fa32a0798f79e13ca92ae84eda9ab3eb12c70a4,test,Who are the two French-Canadian Dispatchers that purchase Buck?,Francois and Perrault. ,Francois and Perrault.,Who are the two French-Canadian Dispatchers that purchase Buck ?,Francois and Perrault .,Francois and Perrault .
1fa32a0798f79e13ca92ae84eda9ab3eb12c70a4,test,Where do Francois and Perrault take Buck?,Canada's Klondike region.,THE KLONDIKE,Where do Francois and Perrault take Buck ?,Canada s Klondike region .,THE KLONDIKE
1fa32a0798f79e13ca92ae84eda9ab3eb12c70a4,test,What do Francois and Perrault train Buck to be?,A Sled dog. ,a sled dog,What do Francois and Perrault train Buck to be ?,A Sled dog .,a sled dog
1fa32a0798f79e13ca92ae84eda9ab3eb12c70a4,test,Who are the owners who mistreat and nearly starve Buck in the wilderness? ,"Hal, Charles, and Mercedes. ","MERCEDES, CHARLES AND HAL",Who are the owners who mistreat and nearly starve Buck in the wilderness ?,"Hal , Charles , and Mercedes .","MERCEDES , CHARLES AND HAL"
1fa32a0798f79e13ca92ae84eda9ab3eb12c70a4,test,"Who saves Buck from Hal, Charles, and Mercedes?",Thorton. ,Thornton,"Who saves Buck from Hal , Charles , and Mercedes ?",Thorton .,Thornton
1fa32a0798f79e13ca92ae84eda9ab3eb12c70a4,test,Who nurses Buck back to health and gains Buck's devotion as his last owner?,Thorton. ,Thornton,Who nurses Buck back to health and gains Buck s devotion as his last owner ?,Thorton .,Thornton
1fa32a0798f79e13ca92ae84eda9ab3eb12c70a4,test,Who owned Buck?,Judge Miller,"Judge Miller, Francois, Paraullt, Hal, Charles, Mercedes, Thorton",Who owned Buck ?,Judge Miller,"Judge Miller , Francois , Paraullt , Hal , Charles , Mercedes , Thorton"
1fa32a0798f79e13ca92ae84eda9ab3eb12c70a4,test,Who stole the dog?,the assistant to the gardener,The gardener's assistant.,Who stole the dog ?,the assistant to the gardener,The gardener s assistant .
1fa32a0798f79e13ca92ae84eda9ab3eb12c70a4,test,Where does Buck become a sled dog?,in Canada's Klondike region,Canada,Where does Buck become a sled dog ?,in Canada s Klondike region,Canada
1fa32a0798f79e13ca92ae84eda9ab3eb12c70a4,test,How does Buck become pack leader?,by winning a fight against Spitz,BY DEFEATING THE CURRENT PACK LEADER,How does Buck become pack leader ?,by winning a fight against Spitz,BY DEFEATING THE CURRENT PACK LEADER
1fa32a0798f79e13ca92ae84eda9ab3eb12c70a4,test,Why was Dave shot?,he became sick,He was sick,Why was Dave shot ?,he became sick,He was sick
1fa32a0798f79e13ca92ae84eda9ab3eb12c70a4,test,How was Back saved from drowning?,Thornton hit one of Buck's new owners and took him ,Thornton set him free from the rest of the pack.,How was Back saved from drowning ?,Thornton hit one of Buck s new owners and took him,Thornton set him free from the rest of the pack .
1fa32a0798f79e13ca92ae84eda9ab3eb12c70a4,test,What did Buck win from a bonanza king?,gold dust worth $1600,Gold dust,What did Buck win from a bonanza king ?,gold dust worth $ 1600,Gold dust
1fa32a0798f79e13ca92ae84eda9ab3eb12c70a4,test,Where was Buck when Thornton was killed?,on a long hunt,with a wolf pack,Where was Buck when Thornton was killed ?,on a long hunt,with a wolf pack
1fa32a0798f79e13ca92ae84eda9ab3eb12c70a4,test,What happened to Back after he avenged Thornton's death?,he was attacked by wolves,He is attacked by a pack of wolves.,What happened to Back after he avenged Thornton s death ?,he was attacked by wolves,He is attacked by a pack of wolves .
1fa32a0798f79e13ca92ae84eda9ab3eb12c70a4,test,When does Buck go back to where Thornton was killed?,every year,Every year,When does Buck go back to where Thornton was killed ?,every year,Every year
22d1af3e29dc599ec0634fe860359027adea6944,test,Why does Cytherea Graye take on the lady's maid job?,She is poor.,Poverty forces her.,Why does Cytherea Graye take on the lady s maid job ?,She is poor .,Poverty forces her .
22d1af3e29dc599ec0634fe860359027adea6944,test,What is the profession of the man Cytherea is in love with?,Architect.,Architect,What is the profession of the man Cytherea is in love with ?,Architect .,Architect
22d1af3e29dc599ec0634fe860359027adea6944,test,How did the first wife of Miss Adclyffe's illegitimate son die?,In a fire.,She was killed by Aeneas Manston in an argument.,How did the first wife of Miss Adclyffe s illegitimate son die ?,In a fire .,She was killed by Aeneas Manston in an argument .
22d1af3e29dc599ec0634fe860359027adea6944,test,When did Manston kill his wife?,After the wife left the inn.,After she left the inn.,When did Manston kill his wife ?,After the wife left the inn .,After she left the inn .
22d1af3e29dc599ec0634fe860359027adea6944,test,Who does Manston try to kidnap?,Cytherea.,Cytherea,Who does Manston try to kidnap ?,Cytherea .,Cytherea
22d1af3e29dc599ec0634fe860359027adea6944,test,Why did Manston introduce an imposter?,To prevent a prosecution of himself.,To avoid being prosecuted for murder.,Why did Manston introduce an imposter ?,To prevent a prosecution of himself .,To avoid being prosecuted for murder .
22d1af3e29dc599ec0634fe860359027adea6944,test,Who stop Manston from kidnapping Cytherea?,Edward.,Edward,Who stop Manston from kidnapping Cytherea ?,Edward .,Edward
22d1af3e29dc599ec0634fe860359027adea6944,test,When did the wife of Manston leave the inn?,Before the inn caught fire.,She left before the fire started,When did the wife of Manston leave the inn ?,Before the inn caught fire .,She left before the fire started
22d1af3e29dc599ec0634fe860359027adea6944,test,Who kills Manston?,Himself.,manston kills himself,Who kills Manston ?,Himself .,manston kills himself
22d1af3e29dc599ec0634fe860359027adea6944,test,Whose sibling is suffering from an illness?,Cytherea's brother.,Cytherea,Whose sibling is suffering from an illness ?,Cytherea s brother .,Cytherea
22d1af3e29dc599ec0634fe860359027adea6944,test,Which character is forced into poverty at the beginning of the story?,Cytherea Graye,Cytherea Grave.,Which character is forced into poverty at the beginning of the story ?,Cytherea Graye,Cytherea Grave .
22d1af3e29dc599ec0634fe860359027adea6944,test,What job does Graye take to help her financial situation?,Lady's maid,Lady's maid,What job does Graye take to help her financial situation ?,Lady s maid,Lady s maid
22d1af3e29dc599ec0634fe860359027adea6944,test,Who is Grayes' employer?,Miss Aldclyffe,Miss Aldclyffe,Who is Grayes ' employer ?,Miss Aldclyffe,Miss Aldclyffe
22d1af3e29dc599ec0634fe860359027adea6944,test,Who is the young architect that Grayes' loves?,Edward Springlove,Edward Springrove,Who is the young architect that Grayes ' loves ?,Edward Springlove,Edward Springrove
22d1af3e29dc599ec0634fe860359027adea6944,test,Whose hand does Grayes reluctantly take in marriage? ,Aeneas Manston,Aeneas Manston.,Whose hand does Grayes reluctantly take in marriage ?,Aeneas Manston,Aeneas Manston .
22d1af3e29dc599ec0634fe860359027adea6944,test,Who is Grayes' brother?,Edward,the local rector,Who is Grayes ' brother ?,Edward,the local rector
22d1af3e29dc599ec0634fe860359027adea6944,test,What is Edwards profession? ,Local rector,Architect,What is Edwards profession ?,Local rector,Architect
22d1af3e29dc599ec0634fe860359027adea6944,test,Who suspects that Mrs. Manston is an imposter?,Edward,Edward,Who suspects that Mrs. Manston is an imposter ?,Edward,Edward
22d1af3e29dc599ec0634fe860359027adea6944,test,Who suspected Aeneas Manston of murder?,A poacher,Edward.,Who suspected Aeneas Manston of murder ?,A poacher,Edward .
22d1af3e29dc599ec0634fe860359027adea6944,test,Where does Aeneas Manston commit suicide?,His cell,in his cell,Where does Aeneas Manston commit suicide ?,His cell,in his cell
22d1af3e29dc599ec0634fe860359027adea6944,test,Who did manston killed and why according to the poacher?,manston killed his wife after an argument ,He killed his wife and brought the impostor in to avoid being prosecuted.,Who did manston killed and why according to the poacher ?,manston killed his wife after an argument,He killed his wife and brought the impostor in to avoid being prosecuted .
22d1af3e29dc599ec0634fe860359027adea6944,test,Who heard the argument betwwen manston and his wife?,the poacher  heard the agrument,A poacher,Who heard the argument betwwen manston and his wife ?,the poacher heard the agrument,A poacher
22d1af3e29dc599ec0634fe860359027adea6944,test,Who commits sucide in the end and where?,manston commits sucide in his cell.,Manston in jail,Who commits sucide in the end and where ?,manston commits sucide in his cell .,Manston in jail
22d1af3e29dc599ec0634fe860359027adea6944,test,Who did manston attempt to kidnap in the end and was stopped by whom?,manston attempts to kidnap Cytherea and is stopped by Edward.,Cytherea and Edward.,Who did manston attempt to kidnap in the end and was stopped by whom ?,manston attempts to kidnap Cytherea and is stopped by Edward .,Cytherea and Edward .
22d1af3e29dc599ec0634fe860359027adea6944,test,What was manstons plan?,he planned to go to the police if his wife didnot turn up alive.,he brought an imposter to avoid being prosecuted,What was manstons plan ?,he planned to go to the police if his wife didnot turn up alive .,he brought an imposter to avoid being prosecuted
22d1af3e29dc599ec0634fe860359027adea6944,test,Who does edward marry in the end?,edward marries cytherea.,Cytherea.,Who does edward marry in the end ?,edward marries cytherea .,Cytherea .
22d1af3e29dc599ec0634fe860359027adea6944,test,Why did cytherea marry manston?,she married him to help his sick brother.,she has a sick brother,Why did cytherea marry manston ?,she married him to help his sick brother .,she has a sick brother
22d1af3e29dc599ec0634fe860359027adea6944,test,Who does cytherea love and what is his profession?,cytherea loves edward and he is an architect,Cythera loves Edward and is a maid.,Who does cytherea love and what is his profession ?,cytherea loves edward and he is an architect,Cythera loves Edward and is a maid .
22d1af3e29dc599ec0634fe860359027adea6944,test,Who is Miss aldclyffe?,the woman who loved cythereas father but was unable to marry him.,Miss Aldclyffe is a woman Cytherea father was in love with.,Who is Miss aldclyffe ?,the woman who loved cythereas father but was unable to marry him .,Miss Aldclyffe is a woman Cytherea father was in love with .
36cdfca4aa4ecf0692b4c17f8fdc5c22dcf4d2e5,test,What group dit On-Two lead?,The wild bunch,Wild Bunch,What group dit On-Two lead ?,The wild bunch,Wild Bunch
36cdfca4aa4ecf0692b4c17f8fdc5c22dcf4d2e5,test,How much did Uri pay to Lenny for the land deal?,"7,000,000 euros","7,000,000",How much did Uri pay to Lenny for the land deal ?,"7,000,000 euros","7,000,000"
36cdfca4aa4ecf0692b4c17f8fdc5c22dcf4d2e5,test,What did Johnny Quid steal from Lenny?,Uri's Lucky painting,Uri's lucky painting.,What did Johnny Quid steal from Lenny ?,Uri s Lucky painting,Uri s lucky painting .
36cdfca4aa4ecf0692b4c17f8fdc5c22dcf4d2e5,test,Who doublecrossed Uri to help others steal the money?,Stella,Stella,Who doublecrossed Uri to help others steal the money ?,Stella,Stella
36cdfca4aa4ecf0692b4c17f8fdc5c22dcf4d2e5,test,What did Lenny do that eventually caused him to be drowned?,He collaborated with the police.,He was an informant.,What did Lenny do that eventually caused him to be drowned ?,He collaborated with the police .,He was an informant .
36cdfca4aa4ecf0692b4c17f8fdc5c22dcf4d2e5,test,Who wanted to marry stella?,Uri,Uri.,Who wanted to marry stella ?,Uri,Uri .
36cdfca4aa4ecf0692b4c17f8fdc5c22dcf4d2e5,test,Who did Victor suspect actually stole Uri's money?,Lenny,Lenny,Who did Victor suspect actually stole Uri s money ?,Lenny,Lenny
36cdfca4aa4ecf0692b4c17f8fdc5c22dcf4d2e5,test,To whom did Johnny graphically explain how they be killed in the lift?,Roman and Mickey,Roman and Mickey,To whom did Johnny graphically explain how they be killed in the lift ?,Roman and Mickey,Roman and Mickey
36cdfca4aa4ecf0692b4c17f8fdc5c22dcf4d2e5,test,Who ultimately ended up with the painting?,Johnny.,Johnny,Who ultimately ended up with the painting ?,Johnny .,Johnny
36cdfca4aa4ecf0692b4c17f8fdc5c22dcf4d2e5,test,How is Lenny executed?,He is drowned and fed to crayfish.,He was drowned and fed to crayfish.,How is Lenny executed ?,He is drowned and fed to crayfish .,He was drowned and fed to crayfish .
36cdfca4aa4ecf0692b4c17f8fdc5c22dcf4d2e5,test,What is the nationality of the businessman who plans the crooked real estate deal?,Russian.,Russian,What is the nationality of the businessman who plans the crooked real estate deal ?,Russian .,Russian
36cdfca4aa4ecf0692b4c17f8fdc5c22dcf4d2e5,test,What happens to Uri's painting after Lenny hangs it up on his wall?,It is stolen by Johnny Quid.,It is stolen by Johnny.,What happens to Uri s painting after Lenny hangs it up on his wall ?,It is stolen by Johnny Quid .,It is stolen by Johnny .
36cdfca4aa4ecf0692b4c17f8fdc5c22dcf4d2e5,test,What is Johnny Quid's relationship to Lenny?,Stepson.,Stepson,What is Johnny Quid s relationship to Lenny ?,Stepson .,Stepson
36cdfca4aa4ecf0692b4c17f8fdc5c22dcf4d2e5,test,What pseudonym does Lenny use on the documents of the crooked deal?,Sydney Shaw.,Sydney Shaw,What pseudonym does Lenny use on the documents of the crooked deal ?,Sydney Shaw .,Sydney Shaw
36cdfca4aa4ecf0692b4c17f8fdc5c22dcf4d2e5,test,What is Johnny's plan after his succssful rehab from addiction?,To become a real RocknRolla.,become a real RocknRolla,What is Johnny s plan after his succssful rehab from addiction ?,To become a real RocknRolla .,become a real RocknRolla
